customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total
ID0000,No,Male,0,Yes,Yes,35,No,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),73.29,2565.15
ID0001,No,Female,0,Yes,Yes,51,Yes,No phone service,No,No,No,No,No internet service,No,No,One year,No,Mailed check,83.76,4271.76
ID0002,No,Female,0,Yes,Yes,37,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Electronic check,50.39,1864.43
ID0003,No,Female,0,Yes,No,57,Yes,No,No,No internet service,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,74.05,4220.849999999999
ID0004,Yes,Female,0,No,Yes,8,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,No internet service,Yes,One year,Yes,Electronic check,38.98,311.84
ID0005,Yes,Male,0,Yes,No,20,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),38.69,773.8
ID0006,Yes,Female,0,Yes,No,53,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,Two year,Yes,Mailed check,77.66,4115.98
ID0007,No,Male,0,Yes,Yes,12,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),88.55,1062.6
ID0008,No,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),32.04,1569.96
ID0009,No,Male,0,Yes,No,17,No,No,No,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.28,548.76
ID0010,Yes,Male,0,Yes,No,64,Yes,No,DSL,No,No internet service,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),76.53,4897.92
ID0011,No,Male,0,No,Yes,42,Yes,No phone service,No,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),47.01,1974.4199999999998
ID0012,No,Female,1,No,Yes,29,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Credit card (automatic),59.24,1717.96
ID0013,Yes,Female,0,Yes,Yes,19,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,One year,No,Mailed check,60.07,1141.33
ID0014,Yes,Female,0,Yes,No,11,Yes,No phone service,No,No,No,No internet service,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),37.86,416.46
ID0015,Yes,Female,0,Yes,No,50,Yes,No,Fiber optic,No,No,No,No,No internet service,No,One year,Yes,Electronic check,20.13,1006.5
ID0016,No,Male,0,Yes,No,71,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),105.32,7477.719999999999
ID0017,No,Female,1,Yes,No,58,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,91.5,5307.0
ID0018,No,Male,0,No,No,34,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,89.05,3027.7
ID0019,Yes,Female,1,No,Yes,20,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No,One year,No,Credit card (automatic),74.65,1493.0
ID0020,No,Male,0,Yes,Yes,50,Yes,No,DSL,No,No,Yes,No,No internet service,No internet service,One year,No,Electronic check,90.1,4505.0
ID0021,Yes,Male,1,Yes,No,10,No,No phone service,DSL,No,No,No,No,Yes,No internet service,Month-to-month,No,Electronic check,113.57,1135.6999999999998
ID0022,Yes,Female,0,No,No,32,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),86.57,2770.24
ID0023,No,Male,0,Yes,Yes,52,No,Yes,Fiber optic,No,No internet service,No,No internet service,No,No,One year,No,Credit card (automatic),46.51,2418.52
